,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.954,0.0071297498787357
500,50,CLD,0.9583333333333334,0.0100692049779955
1000,100,CLD,0.959,0.0107754865834964
1500,150,CLD,0.9586666666666666,0.0103682206766638
1990,199,CLD,0.9586666666666666,0.0108269211792744
151,15,DCP,0.952,0.0095306523036638
501,50,DCP,0.957,0.0122701082128706
1001,100,DCP,0.9576666666666668,0.0103816076682649
1501,150,DCP,0.9583333333333334,0.0113651514141548
1991,199,DCP,0.9583333333333334,0.0113651514141548
152,15,F1,0.9563333333333331,0.0105013226680155
502,50,F1,0.9556666666666668,0.0094721814922552
1002,100,F1,0.9566666666666668,0.0120761472884912
1502,150,F1,0.9563333333333331,0.0098882646494608
1992,199,F1,0.9563333333333336,0.0103682206766638
153,15,Hostility,0.9513333333333334,0.0143081173542231
503,50,Hostility,0.9543333333333331,0.0144625954332777
1003,100,Hostility,0.9553333333333331,0.0127693208729186
1503,150,Hostility,0.9556666666666668,0.0114624992426996
1993,199,Hostility,0.9576666666666668,0.012505554321536
154,15,LSC,0.953,0.0140138820063852
504,50,LSC,0.9566666666666668,0.0111803398874989
1004,100,LSC,0.9553333333333331,0.0096752835158
1504,150,LSC,0.9553333333333331,0.0101653004546513
1994,199,LSC,0.9566666666666668,0.0109924216318941
155,15,N1,0.9543333333333331,0.0127801930084538
505,50,N1,0.9553333333333331,0.0131444961020868
1005,100,N1,0.956,0.0136727628679957
1505,150,N1,0.9563333333333331,0.0130384048104053
1995,199,N1,0.9586666666666666,0.0112051575426477
156,15,N2,0.9526666666666668,0.0120531231545097
506,50,N2,0.9556666666666668,0.0096896279024991
1006,100,N2,0.9566666666666668,0.0111803398874989
1506,150,N2,0.956,0.0119953694769643
1996,199,N2,0.956,0.0103144989645104
157,15,TD_U,0.952,0.0106327586051576
507,50,TD_U,0.9576666666666668,0.012505554321536
1007,100,TD_U,0.958,0.0116308975482453
1507,150,TD_U,0.9583333333333334,0.0104748375749804
1997,199,TD_U,0.9586666666666666,0.009746794344809
158,15,Uniform,0.9526666666666668,0.0093244004871328
508,50,Uniform,0.955,0.0120761472884911
1008,100,Uniform,0.9553333333333331,0.0102333876220058
1508,150,Uniform,0.956,0.008787617550976
1998,199,Uniform,0.9556666666666668,0.0090215790684829
159,15,kDN,0.956,0.0137739690075962
509,50,kDN,0.9566666666666668,0.0109924216318941
1009,100,kDN,0.957,0.0106327586051576
1509,150,kDN,0.955,0.0120185042515466
1999,199,kDN,0.9556666666666668,0.0112175457803092
