col_1,col_2,col_3,col_4,class
1.0,2.2,5.5,2.4,minority
2.0,2.2,4.5,2.4,minority
3.0,2.3,5.1,2.4,minority
4.0,2.0,5.5,2.2,minority
5.0,1.6,5.7,2.1,minority
6.0,1.4,5.1,1.5,majority
7.0,1.8,4.3,2.3,majority
8.0,2.2,4.8,2.3,minority
9.0,2.9,5.6,2.5,minority
10.0,2.6,5.9,2.0,majority
11.0,2.4,6.0,1.9,majority
12.0,2.1,5.1,1.7,minority
13.0,3.0,5.2,2.2,minority
14.0,2.5,4.4,1.8,minority
15.0,2.7,5.5,3.2,majority
16.0,2.2,5.4,3.2,majority
17.0,2.4,4.1,2.7,minority
18.0,2.7,4.4,2.2,minority
19.0,3.1,4.7,2.2,minority
20.0,2.5,4.6,1.9,minority
21.0,2.4,6.0,1.9,minority
22.0,2.3,5.6,1.8,majority
23.0,2.4,5.1,2.7,majority
24.0,1.9,4.7,3.0,majority
25.0,3.3,4.8,2.3,minority
26.0,3.8,5.5,2.0,minority
27.0,3.7,5.1,2.0,majority
28.0,3.5,5.2,2.9,majority
29.0,3.1,5.0,2.9,majority
30.0,2.7,4.0,2.7,minority
31.0,4.1,3.7,2.7,minority
32.0,4.0,4.8,2.3,majority
33.0,3.4,5.9,2.6,majority
34.0,3.2,5.5,2.4,majority
35.0,3.7,4.9,1.8,majority
36.0,3.6,4.4,1.7,minority
37.0,4.1,4.7,1.5,minority
38.0,2.0,4.2,1.4,majority
39.0,4.6,5.5,2.1,majority
40.0,4.1,4.9,3.3,majority
41.0,3.2,4.8,3.5,minority
42.0,2.9,4.5,3.5,majority
43.0,2.7,4.9,3.1,majority
44.0,3.0,4.9,2.6,majority
45.0,0.0,4.5,2.1,minority
46.0,0.0,4.2,3.4,majority
47.0,0.0,4.9,3.0,majority
48.0,0.0,5.9,2.9,majority
